"id","driver_number","driver_name","driver_abb","driver_total_seasons","driver_season_rank","driver_season_points","driver_season_gps","driver_season_wins","driver_season_podiums","driver_season_poles","driver_season_fastlaps","driver_season_leadlaps","driver_career_wins_avg","driver_career_podiums_avg","driver_career_poles","driver_career_fastlaps","driver_career_gps","driver_career_season","team_name","team_season_wins","team_season_podiums","team_season_poles","team_season_fastlaps","team_season_leadlaps","team_season_points","team_average_wins","team_average_podiums","team_total_gps","team_seasons","circuit_country","circuit_name","circuit_length","circuit_temp","circuit_rain","quali_pos","quali_time","race_pos"
1073,55,"C SAINZ","SAI",9,5,117,15,0,1,1,0,14,0.01,0.09,4,3,177,9,"Ferrari",0,4,3,0,26,228,0.1,0.34,2326,74,"USA","Circuit of the Americas",5513,28.1484,0.0,6,93.792,7
1074,4,"L NORRIS","NOR",5,8,79,15,0,2,0,0,5,0.0,0.08,1,5,96,5,"McLaren",0,2,0,1,6,115,0.1,0.26,1926,58,"USA","Circuit of the Americas",5513,28.1484,0.0,8,93.887,8
1075,22,"Y TSUNODA","TSU",3,17,3,15,0,0,0,0,0,0.0,0.0,0,0,56,3,"AlphaTauri",0,0,0,0,0,3,0.0,0.01,684,18,"USA","Circuit of the Americas",5513,28.1484,0.0,10,94.918,9
1076,5,"S VETTEL","VET",16,0,0,0,0,0,0,0,0,0.18,0.41,57,38,299,16,"Aston Martin",0,7,0,1,3,217,0.0,0.06,126,5,"USA","Circuit of the Americas",5513,28.1484,0.0,12,95.5,10
1077,99,"A GIOVINAZZI","GIO",4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,62,4,"Alfa Romeo Racing",0,0,0,0,0,0,0.0,0.0,0,0,"USA","Circuit of the Americas",5513,28.1484,0.0,13,95.794,11
1078,18,"L STROLL","STR",7,9,47,15,0,0,0,0,0,0.0,0.02,1,0,136,7,"Aston Martin",0,7,0,1,3,217,0.0,0.06,126,5,"USA","Circuit of the Americas",5513,28.1484,0.0,16,95.983,12
1079,7,"K RAIKKONEN","RAI",19,0,0,0,0,0,0,0,0,0.06,0.3,18,46,349,19,"Alfa Romeo Racing",0,0,0,0,0,0,0.0,0.0,0,0,"USA","Circuit of the Americas",5513,28.1484,0.0,18,96.311,13
1080,63,"G RUSSELL","RUS",5,7,109,15,0,1,0,1,6,0.01,0.1,1,6,96,5,"Williams",0,0,0,0,0,21,0.07,0.2,1569,46,"USA","Circuit of the Americas",5513,28.1484,0.0,15,95.746,14
1081,6,"N LATIFI","LAT",3,0,0,0,0,0,0,0,0,0.0,0.0,0,0,61,3,"Williams",0,0,0,0,0,21,0.07,0.2,1569,46,"USA","Circuit of the Americas",5513,28.1484,0.0,17,95.995,15
1082,47,"M SCHUMACHER","MSC",2,0,0,0,0,0,0,0,0,0.0,0.0,0,0,43,2,"Haas F1 Team",0,0,0,0,0,11,0.0,0.0,312,8,"USA","Circuit of the Americas",5513,28.1484,0.0,19,96.499,16
1083,9,"N MAZEPIN","MAZ",1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,21,1,"Haas F1 Team",0,0,0,0,0,11,0.0,0.0,312,8,"USA","Circuit of the Americas",5513,28.1484,0.0,20,96.796,17
1084,14,"F ALONSO","ALO",20,3,170,15,0,7,0,1,3,0.09,0.28,22,24,369,20,"Alpine",0,2,0,0,0,73,0.01,0.03,116,3,"USA","Circuit of the Americas",5513,28.1484,0.0,14,104.549,18
1085,31,"E OCON","OCO",7,11,36,15,0,1,0,0,0,0.01,0.02,0,0,125,7,"Alpine",0,2,0,0,0,73,0.01,0.03,116,3,"USA","Circuit of the Americas",5513,28.1484,0.0,11,95.377,19
1086,10,"P GASLY","GAS",7,10,37,15,0,1,0,0,0,0.01,0.03,0,3,122,7,"AlphaTauri",0,0,0,0,0,3,0.0,0.01,684,18,"USA","Circuit of the Americas",5513,28.1484,0.0,9,94.118,20
1087,33,"M VERSTAPPEN","VER",9,1,364,15,12,14,8,6,661,0.27,0.51,28,27,177,9,"Red Bull Racing",14,22,10,8,799,583,0.15,0.36,719,19,"Mexico","Autódromo Hermanos Rodríguez",4304,21.2067,0.0,3,76.225,1
1088,44,"L HAMILTON","HAM",17,4,164,15,0,4,1,2,7,0.32,0.6,104,63,324,17,"Mercedes",0,5,1,3,13,273,0.21,0.49,585,16,"Mexico","Autódromo Hermanos Rodríguez",4304,21.2067,0.0,2,76.02,2
1089,11,"S PEREZ","PER",13,2,219,15,2,8,2,2,138,0.02,0.14,3,11,249,13,"Red Bull Racing",14,22,10,8,799,583,0.15,0.36,719,19,"Mexico","Autódromo Hermanos Rodríguez",4304,21.2067,0.0,4,76.342,3
1090,10,"P GASLY","GAS",7,10,37,15,0,1,0,0,0,0.01,0.03,0,3,122,7,"AlphaTauri",0,0,0,0,0,3,0.0,0.01,684,18,"Mexico","Autódromo Hermanos Rodríguez",4304,21.2067,0.0,5,76.456,4
1091,16,"C LECLERC","LEC",6,6,111,15,0,3,2,0,12,0.04,0.23,20,7,117,6,"Ferrari",0,4,3,0,26,228,0.1,0.34,2326,74,"Mexico","Autódromo Hermanos Rodríguez",4304,21.2067,0.0,8,76.837,5
1092,55,"C SAINZ","SAI",9,5,117,15,0,1,1,0,14,0.01,0.09,4,3,177,9,"Ferrari",0,4,3,0,26,228,0.1,0.34,2326,74,"Mexico","Autódromo Hermanos Rodríguez",4304,21.2067,0.0,6,76.761,6
1093,5,"S VETTEL","VET",16,0,0,0,0,0,0,0,0,0.18,0.41,57,38,299,16,"Aston Martin",0,7,0,1,3,217,0.0,0.06,126,5,"Mexico","Autódromo Hermanos Rodríguez",4304,21.2067,0.0,11,77.746,7
1094,7,"K RAIKKONEN","RAI",19,0,0,0,0,0,0,0,0,0.06,0.3,18,46,349,19,"Alfa Romeo Racing",0,0,0,0,0,0,0.0,0.0,0,0,"Mexico","Autódromo Hermanos Rodríguez",4304,21.2067,0.0,12,77.958,8
1095,14,"F ALONSO","ALO",20,3,170,15,0,7,0,1,3,0.09,0.28,22,24,369,20,"Alpine",0,2,0,0,0,73,0.01,0.03,116,3,"Mexico","Autódromo Hermanos Rodríguez",4304,21.2067,0.0,16,78.452,9
1096,4,"L NORRIS","NOR",5,8,79,15,0,2,0,0,5,0.0,0.08,1,5,96,5,"McLaren",0,2,0,1,6,115,0.1,0.26,1926,58,"Mexico","Autódromo Hermanos Rodríguez",4304,21.2067,0.0,10,96.83,10
1097,99,"A GIOVINAZZI","GIO",4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,62,4,"Alfa Romeo Racing",0,0,0,0,0,0,0.0,0.0,0,0,"Mexico","Autódromo Hermanos Rodríguez",4304,21.2067,0.0,14,78.29,11
1098,3,"D RICCIARDO","RIC",13,22,0,2,0,0,0,0,0,0.03,0.14,3,16,234,13,"McLaren",0,2,0,1,6,115,0.1,0.26,1926,58,"Mexico","Autódromo Hermanos Rodríguez",4304,21.2067,0.0,7,76.763,12
1099,31,"E OCON","OCO",7,11,36,15,0,1,0,0,0,0.01,0.02,0,0,125,7,"Alpine",0,2,0,0,0,73,0.01,0.03,116,3,"Mexico","Autódromo Hermanos Rodríguez",4304,21.2067,0.0,15,78.405,13
1100,18,"L STROLL","STR",7,9,47,15,0,0,0,0,0,0.0,0.02,1,0,136,7,"Aston Martin",0,7,0,1,3,217,0.0,0.06,126,5,"Mexico","Autódromo Hermanos Rodríguez",4304,21.2067,0.0,20,80.873,14
1101,77,"V BOTTAS","BOT",11,15,6,15,0,0,0,0,0,0.05,0.31,20,19,214,11,"Mercedes",0,5,1,3,13,273,0.21,0.49,585,16,"Mexico","Autódromo Hermanos Rodríguez",4304,21.2067,0.0,1,75.875,15
1102,63,"G RUSSELL","RUS",5,7,109,15,0,1,0,1,6,0.01,0.1,1,6,96,5,"Williams",0,0,0,0,0,21,0.07,0.2,1569,46,"Mexico","Autódromo Hermanos Rodríguez",4304,21.2067,0.0,13,78.172,16
1103,6,"N LATIFI","LAT",3,0,0,0,0,0,0,0,0,0.0,0.0,0,0,61,3,"Williams",0,0,0,0,0,21,0.07,0.2,1569,46,"Mexico","Autódromo Hermanos Rodríguez",4304,21.2067,0.0,17,78.756,17
1104,9,"N MAZEPIN","MAZ",1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,21,1,"Haas F1 Team",0,0,0,0,0,11,0.0,0.0,312,8,"Mexico","Autódromo Hermanos Rodríguez",4304,21.2067,0.0,19,79.303,18
1105,47,"M SCHUMACHER","MSC",2,0,0,0,0,0,0,0,0,0.0,0.0,0,0,43,2,"Haas F1 Team",0,0,0,0,0,11,0.0,0.0,312,8,"Mexico","Autódromo Hermanos Rodríguez",4304,21.2067,0.0,18,78.858,19
1106,22,"Y TSUNODA","TSU",3,17,3,15,0,0,0,0,0,0.0,0.0,0,0,56,3,"AlphaTauri",0,0,0,0,0,3,0.0,0.01,684,18,"Mexico","Autódromo Hermanos Rodríguez",4304,21.2067,0.0,9,77.158,20
1107,44,"L HAMILTON","HAM",17,4,164,15,0,4,1,2,7,0.32,0.6,104,63,324,17,"Mercedes",0,5,1,3,13,273,0.21,0.49,585,16,"Brazil","Autodromo Jose Carlos Pace",4309,23.1373,0.0,1,67.934,1
1108,33,"M VERSTAPPEN","VER",9,1,364,15,12,14,8,6,661,0.27,0.51,28,27,177,9,"Red Bull Racing",14,22,10,8,799,583,0.15,0.36,719,19,"Brazil","Autodromo Jose Carlos Pace",4309,23.1373,0.0,2,68.372,2
1109,77,"V BOTTAS","BOT",11,15,6,15,0,0,0,0,0,0.05,0.31,20,19,214,11,"Mercedes",0,5,1,3,13,273,0.21,0.49,585,16,"Brazil","Autodromo Jose Carlos Pace",4309,23.1373,0.0,3,68.469,3
1110,11,"S PEREZ","PER",13,2,219,15,2,8,2,2,138,0.02,0.14,3,11,249,13,"Red Bull Racing",14,22,10,8,799,583,0.15,0.36,719,19,"Brazil","Autodromo Jose Carlos Pace",4309,23.1373,0.0,4,68.483,4
1111,16,"C LECLERC","LEC",6,6,111,15,0,3,2,0,12,0.04,0.23,20,7,117,6,"Ferrari",0,4,3,0,26,228,0.1,0.34,2326,74,"Brazil","Autodromo Jose Carlos Pace",4309,23.1373,0.0,7,68.96,5
1112,55,"C SAINZ","SAI",9,5,117,15,0,1,1,0,14,0.01,0.09,4,3,177,9,"Ferrari",0,4,3,0,26,228,0.1,0.34,2326,74,"Brazil","Autodromo Jose Carlos Pace",4309,23.1373,0.0,6,68.826,6
1113,10,"P GASLY","GAS",7,10,37,15,0,1,0,0,0,0.01,0.03,0,3,122,7,"AlphaTauri",0,0,0,0,0,3,0.0,0.01,684,18,"Brazil","Autodromo Jose Carlos Pace",4309,23.1373,0.0,5,68.777,7
1114,31,"E OCON","OCO",7,11,36,15,0,1,0,0,0,0.01,0.02,0,0,125,7,"Alpine",0,2,0,0,0,73,0.01,0.03,116,3,"Brazil","Autodromo Jose Carlos Pace",4309,23.1373,0.0,11,69.189,8
1115,14,"F ALONSO","ALO",20,3,170,15,0,7,0,1,3,0.09,0.28,22,24,369,20,"Alpine",0,2,0,0,0,73,0.01,0.03,116,3,"Brazil","Autodromo Jose Carlos Pace",4309,23.1373,0.0,10,69.113,9
1116,4,"L NORRIS","NOR",5,8,79,15,0,2,0,0,5,0.0,0.08,1,5,96,5,"McLaren",0,2,0,1,6,115,0.1,0.26,1926,58,"Brazil","Autodromo Jose Carlos Pace",4309,23.1373,0.0,8,68.98,10
1117,5,"S VETTEL","VET",16,0,0,0,0,0,0,0,0,0.18,0.41,57,38,299,16,"Aston Martin",0,7,0,1,3,217,0.0,0.06,126,5,"Brazil","Autodromo Jose Carlos Pace",4309,23.1373,0.0,12,69.399,11
1118,7,"K RAIKKONEN","RAI",19,0,0,0,0,0,0,0,0,0.06,0.3,18,46,349,19,"Alfa Romeo Racing",0,0,0,0,0,0,0.0,0.0,0,0,"Brazil","Autodromo Jose Carlos Pace",4309,23.1373,0.0,14,69.503,12
1119,63,"G RUSSELL","RUS",5,7,109,15,0,1,0,1,6,0.01,0.1,1,6,96,5,"Williams",0,0,0,0,0,21,0.07,0.2,1569,46,"Brazil","Autodromo Jose Carlos Pace",4309,23.1373,0.0,18,69.953,13
1120,99,"A GIOVINAZZI","GIO",4,0,0,0,0,0,0,0,0,0.0,0.0,0,0,62,4,"Alfa Romeo Racing",0,0,0,0,0,0,0.0,0.0,0,0,"Brazil","Autodromo Jose Carlos Pace",4309,23.1373,0.0,15,70.227,14
1121,22,"Y TSUNODA","TSU",3,17,3,15,0,0,0,0,0,0.0,0.0,0,0,56,3,"AlphaTauri",0,0,0,0,0,3,0.0,0.01,684,18,"Brazil","Autodromo Jose Carlos Pace",4309,23.1373,0.0,13,69.483,15
1122,6,"N LATIFI","LAT",3,0,0,0,0,0,0,0,0,0.0,0.0,0,0,61,3,"Williams",0,0,0,0,0,21,0.07,0.2,1569,46,"Brazil","Autodromo Jose Carlos Pace",4309,23.1373,0.0,17,69.897,16
1123,9,"N MAZEPIN","MAZ",1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,21,1,"Haas F1 Team",0,0,0,0,0,11,0.0,0.0,312,8,"Brazil","Autodromo Jose Carlos Pace",4309,23.1373,0.0,20,70.589,17
1124,47,"M SCHUMACHER","MSC",2,0,0,0,0,0,0,0,0,0.0,0.0,0,0,43,2,"Haas F1 Team",0,0,0,0,0,11,0.0,0.0,312,8,"Brazil","Autodromo Jose Carlos Pace",4309,23.1373,0.0,19,70.329,18
1125,3,"D RICCIARDO","RIC",13,22,0,2,0,0,0,0,0,0.03,0.14,3,16,234,13,"McLaren",0,2,0,1,6,115,0.1,0.26,1926,58,"Brazil","Autodromo Jose Carlos Pace",4309,23.1373,0.0,9,69.039,19
